Content Manifest for Depot 2347773 

Manifest ID / date     : 1602756282803538628 / 10/14/2025 20:55:43 
Total number of files  : 123 
Total number of chunks : 6077 
Total bytes on disk    : 6284850693 
Total bytes compressed : 4054253856 


          Size Chunks File SHA                                 Flags Name
        154364      1 b50661034a26d5e1d9397013d273213dc27b4d7d     0 game/bin/linuxsteamrt64/cs2
         84104      1 17f3c133b5c62e6e2bbb0280e038912414412579     0 game/bin/linuxsteamrt64/fltlnx64.flt
      12143312     12 b9304086bfbdefbebd497c6f9760ee6306e189b7     0 game/bin/linuxsteamrt64/libanimationsystem.so
       3678216      4 68f95c77a3ab19b380f142ab7e6ccb543af9d37c     0 game/bin/linuxsteamrt64/libavcodec.so.58
        888848      1 bcfdd74b8bc4268cc6af190a10c8d64d27b71bc9     0 game/bin/linuxsteamrt64/libavformat.so.58
        129496      1 4895da33d08a56dfb48daa79a3bcee9f9c361649     0 game/bin/linuxsteamrt64/libavresample.so.4
        712672      1 451e7c11727fefe58f2cca8fc0e0cd0bc562f43e     0 game/bin/linuxsteamrt64/libavutil.so.56
       1741364      2 b38e3436f2b153cb469c67817270b43a72a634f3     0 game/bin/linuxsteamrt64/libcairo.so
       9787528     10 68090edcee736ff090dd62105431523d93e40926     0 game/bin/linuxsteamrt64/libengine2.so
       3097528      3 c96bacf7b0d78a8c148a120dd68fcf7861da0998     0 game/bin/linuxsteamrt64/libfilesystem_stdio.so
       1304272      2 0af1352041c54e16129773dc8d038872f9f839be     0 game/bin/linuxsteamrt64/libfontconfig.so.1
       3930056      4 0b64e7c4eab1a6313867cb39c0fafbeb026aac7f     0 game/bin/linuxsteamrt64/libfreetype.so.6
        490148      1 b75e95759ec6021a65b39b497509c037b7fc7fbe     0 game/bin/linuxsteamrt64/libinputsystem.so
        535328      1 da1005f293d91d9a01e6e63267b0b50fb3dadb29     0 game/bin/linuxsteamrt64/liblocalize.so
       1691384      2 9a884dcea1a1638ced8d77ecc7074213cf30ba1b     0 game/bin/linuxsteamrt64/libmaterialsystem2.so
       1635020      2 f06dae33d537317cf5c8861dda9bd5d90b174c21     0 game/bin/linuxsteamrt64/libmeshsystem.so
       1051154      2 312f15ffc6ca79979618858b7e371c056b5b74b2     0 game/bin/linuxsteamrt64/libmpg123.so.0
       4568708      5 7b8f3b41bd6b616f1f441ff3c5fc1d2d198fdb32     0 game/bin/linuxsteamrt64/libnetworksystem.so
         35112      1 5f38ba115a525c4dee3dea7d9625a2164b84d457     0 game/bin/linuxsteamrt64/libogg.so.0
       1278424      2 e99953922de86b898b2f0c9abc38ae24c6aea2b4     0 game/bin/linuxsteamrt64/libpango-1.0.so.0
        442632      1 9e20da60c2343c610624175113428f4089236585     0 game/bin/linuxsteamrt64/libpangoft2-1.0.so.0
       6599120      7 f7aaca965f4f0ea7fe47e9e41057489b800e62be     0 game/bin/linuxsteamrt64/libpanorama.so
       4805904      5 e764d0820496cb7c16e3ac0fe687b5754fce7340     0 game/bin/linuxsteamrt64/libpanoramauiclient.so
       3069876      3 7814ad3949a2178823404f8891f1774413c52a17     0 game/bin/linuxsteamrt64/libpanorama_text_pango.so
       8093720      8 2f63962e03ea1012b4c206d9aa9219ed0bfc97e7     0 game/bin/linuxsteamrt64/libparticles.so
      40493552     40 3f049ffc5df2fc78c8516a0fdb4bd54a8798cd54     0 game/bin/linuxsteamrt64/libphonon.so
       2069916      2 462b386b7768b8c2bd9009582bf2e8c1e5be917d     0 game/bin/linuxsteamrt64/libpulse_system.so
       3232680      4 0be3f83debfdb449123054e1d6b0777baff04a60     0 game/bin/linuxsteamrt64/librendersystemempty.so
       5319556      6 72825f7268bc4d870b71f8b1b31ed52199a8cf54     0 game/bin/linuxsteamrt64/librendersystemvulkan.so
        755696      1 0b7c14b6f671c8c654fe411c0dc8846b4e7fdc4a     0 game/bin/linuxsteamrt64/libresourcesystem.so
       2174808      3 b217c6caa11a4e5f51f722ba93d44b1ecdb59d90     0 game/bin/linuxsteamrt64/libscenefilecache.so
       9818380     10 7623040d2399ea7950f737ed26f7185b2f3a946c     0 game/bin/linuxsteamrt64/libscenesystem.so
        685276      1 58d0c54fc6d5ee1ab9b25344ee296650c49fb0ec     0 game/bin/linuxsteamrt64/libschemasystem.so
       2991928      3 39dd0d1a4450ae1aa016a93a4e74cd2d66fdcc83     0 game/bin/linuxsteamrt64/libSDL3.so.0
       5089204      5 f118773ed2af548a79fc97c9af8be2ae1dfe9997     0 game/bin/linuxsteamrt64/libsoundsystem.so
       2577436      3 4b78931b8657f2b96f4bd5655f057b012c31e1ec     0 game/bin/linuxsteamrt64/libsteamaudio.so
       5692434      6 f9f382caf061b19a4eba00dbfd2279c6881e6604     0 game/bin/linuxsteamrt64/libsteamnetworkingsockets.so
